epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67301,2.27671,4.20835,1.57681,0.00105,0.33333,0.00105,0.00067,2.342,4.11247,1.72362,2.858e-05,2.858e-05,2.858e-05
2,4.26417,2.13765,4.06358,1.49049,0.0011,0.33333,0.00127,0.00081,1.96716,4.02081,1.51205,7.09784e-05,7.09784e-05,7.09784e-05
3,5.82002,1.70862,3.70752,1.29646,0.00121,0.33333,0.00166,0.00105,1.88254,3.93931,1.46784,0.000112811,0.000112811,0.000112811
4,7.43889,1.65228,3.63413,1.27978,0.00884,1,0.20215,0.04063,1.65715,3.81212,1.28459,0.000154078,0.000154078,0.000154078
5,9.14568,1.54462,3.08348,1.18806,0.00873,1,0.30385,0.07276,1.53911,3.76707,1.24292,0.000194778,0.000194778,0.000194778
6,10.965,1.62751,2.77096,1.15637,0.00607,0.66667,0.33771,0.11279,1.35886,3.60324,1.15591,0.000234913,0.000234913,0.000234913
7,12.4306,1.47403,2.14592,1.09594,0.00683,0.83333,0.36523,0.18519,1.30247,3.44999,1.10428,0.000274482,0.000274482,0.000274482
8,13.8475,1.43135,1.84845,1.03356,0.033,0.33333,0.38408,0.23376,1.3624,3.27604,1.08463,0.000313485,0.000313485,0.000313485
9,15.292,1.39157,1.85343,1.05282,0.98205,0.33333,0.37031,0.17263,1.3535,3.19657,1.07944,0.000351923,0.000351923,0.000351923
10,16.7128,1.3803,1.80834,1.10851,0.98593,0.33333,0.36333,0.14781,1.37211,3.08465,1.09004,0.000389794,0.000389794,0.000389794
11,18.0914,1.17881,1.74777,1.01302,0.98471,0.33333,0.35945,0.13151,1.27163,3.0777,1.07292,0.0004271,0.0004271,0.0004271
12,19.532,1.06047,1.67598,0.99598,0.98226,0.33333,0.38926,0.16981,1.31701,2.99256,1.13327,0.000463839,0.000463839,0.000463839
13,20.8848,1.33191,1.71352,0.98533,0.97376,0.33333,0.41989,0.20263,1.25855,3.04931,1.14484,0.000500013,0.000500013,0.000500013
14,22.3287,1.32055,1.63059,1.03073,0.00784,0.91667,0.51808,0.27716,1.23206,3.11397,1.15384,0.000535621,0.000535621,0.000535621
15,23.7225,1.43368,1.80134,1.15889,0.00784,0.91667,0.51808,0.27716,1.23206,3.11397,1.15384,0.000570663,0.000570663,0.000570663
16,25.1704,1.3287,1.61673,1.0038,0.00636,0.66667,0.34589,0.17469,1.15069,3.20368,1.12301,0.000605139,0.000605139,0.000605139
17,26.55,1.25191,1.57804,1.01238,0.00635,0.66667,0.3607,0.16111,1.08634,3.31924,1.0943,0.000639049,0.000639049,0.000639049
18,27.9064,1.19113,1.49553,1.04729,0.00635,0.66667,0.3607,0.16111,1.08634,3.31924,1.0943,0.000672393,0.000672393,0.000672393
19,29.3177,1.11297,1.46163,1.00907,0.00633,0.66667,0.43267,0.18317,1.1087,3.38172,1.05389,0.000705171,0.000705171,0.000705171
20,30.9459,1.14036,1.32164,1.00794,0.00696,0.75,0.66281,0.32286,1.13014,3.28154,1.0445,0.000737384,0.000737384,0.000737384
21,32.3197,1.13181,1.31254,0.98018,0.00696,0.75,0.66281,0.32286,1.13014,3.28154,1.0445,0.000769031,0.000769031,0.000769031
22,34.3659,1.31918,1.58109,1.14011,0.00676,0.75,0.66285,0.39319,1.13887,3.0025,1.05273,0.000800111,0.000800111,0.000800111
23,35.741,1.15892,1.29236,1.08811,0.00676,0.75,0.66285,0.39319,1.13887,3.0025,1.05273,0.000830626,0.000830626,0.000830626
24,37.1355,1.23092,1.23858,1.01275,0.00754,0.91667,0.82928,0.48604,1.1884,2.98351,1.10434,0.000860575,0.000860575,0.000860575
25,38.5357,1.0501,1.16215,0.96635,0.00754,0.91667,0.82928,0.48604,1.1884,2.98351,1.10434,0.000889958,0.000889958,0.000889958
26,39.9178,1.02105,1.13182,0.97214,1,0.3032,0.85991,0.50108,1.23366,2.88631,1.11381,0.000918776,0.000918776,0.000918776
27,41.6709,1.0709,1.08479,0.96765,1,0.3032,0.85991,0.50108,1.23366,2.88631,1.11381,0.000947027,0.000947027,0.000947027
28,43.1142,1.18843,1.11814,0.95047,1,0.46903,0.91304,0.60111,1.19641,2.45187,1.0811,0.000974712,0.000974712,0.000974712
29,44.833,1.10856,1.08395,0.98046,1,0.46903,0.91304,0.60111,1.19641,2.45187,1.0811,0.00100183,0.00100183,0.00100183
30,46.2022,1.1532,1.19275,1.10131,1,0.46903,0.91304,0.60111,1.19641,2.45187,1.0811,0.00102839,0.00102839,0.00102839
31,47.6076,1.12389,1.29129,1.07665,0.98255,0.87315,0.96722,0.58214,1.50892,2.19556,1.16857,0.00105437,0.00105437,0.00105437
32,50.2664,0.99584,1.0741,0.9753,0.98255,0.87315,0.96722,0.58214,1.50892,2.19556,1.16857,0.0010798,0.0010798,0.0010798
33,51.6512,0.97395,1.15993,1.01063,0.94205,0.90884,0.96722,0.6064,1.45681,1.66782,1.15504,0.00110465,0.00110465,0.00110465
34,53.6138,0.87091,1.27249,0.973,0.94205,0.90884,0.96722,0.6064,1.45681,1.66782,1.15504,0.00111776,0.00111776,0.00111776
35,54.9729,1.08278,0.9641,0.98908,0.94205,0.90884,0.96722,0.6064,1.45681,1.66782,1.15504,0.00110833,0.00110833,0.00110833
36,56.3589,0.99858,1.03439,0.96656,0.9015,0.90053,0.97833,0.62431,1.16674,1.42987,1.05495,0.0010989,0.0010989,0.0010989
37,57.7805,1.08045,1.0434,0.94297,0.9015,0.90053,0.97833,0.62431,1.16674,1.42987,1.05495,0.00108947,0.00108947,0.00108947
38,59.2198,1.01435,1.10908,0.97847,0.9015,0.90053,0.97833,0.62431,1.16674,1.42987,1.05495,0.00108004,0.00108004,0.00108004
39,60.5972,1.03562,1.01981,0.97157,0.89921,0.91437,0.97833,0.63045,1.16795,1.30929,1.07623,0.00107061,0.00107061,0.00107061
40,61.9719,0.92365,1.00818,0.90865,0.89921,0.91437,0.97833,0.63045,1.16795,1.30929,1.07623,0.00106118,0.00106118,0.00106118
41,63.3557,1.00795,1.11733,0.97626,0.90978,0.91667,0.97833,0.64315,1.26249,1.15511,1.10185,0.00105174,0.00105174,0.00105174
42,64.858,1.2483,1.02846,0.99303,0.90978,0.91667,0.97833,0.64315,1.26249,1.15511,1.10185,0.00104231,0.00104231,0.00104231
43,66.2727,0.99888,0.90613,1.03401,0.90978,0.91667,0.97833,0.64315,1.26249,1.15511,1.10185,0.00103288,0.00103288,0.00103288
44,67.6942,1.18,1.0599,1.03982,0.96568,0.91667,0.97833,0.67835,1.15798,1.00695,1.03591,0.00102345,0.00102345,0.00102345
45,69.0712,1.03674,0.99562,0.96119,0.96568,0.91667,0.97833,0.67835,1.15798,1.00695,1.03591,0.00101402,0.00101402,0.00101402
46,71.4977,1.05042,0.96536,0.97853,0.96568,0.91667,0.97833,0.67835,1.15798,1.00695,1.03591,0.00100459,0.00100459,0.00100459
47,72.8873,1.08398,1.07732,0.97562,0.86021,0.98424,0.995,0.67626,1.1169,1.06856,1.00623,0.000995156,0.000995156,0.000995156
48,74.2453,1.05297,1.01994,0.99395,0.86021,0.98424,0.995,0.67626,1.1169,1.06856,1.00623,0.000985724,0.000985724,0.000985724
